frase,ideologia
"para la creación de polos de desarrollo rural que incluyan extensionismo, coinversiones productivas y agroindustriales y de comercialización.",derecha
promover el acceso universal a la educación inicial 0 a 4 años.,izquierda
"3.3.4.fomentar el respeto y la confianza en las policías, a través del proceso de certificación, evaluación y controles de confianza",derecha
"5.2.redefinir la relación estratégica con estados unidos de américa, con un enfoque integral, desarrollado a partir de nuestra dependencia mutua y vecindad geográfica, y priorizando los intereses nacionales.",izquierda
"si me siguen subiendo al auto es porque hago las cosas bien, si las hago mal, ya no me vuelven a subir, dijo a este medio.",no_politico
la astrónoma y divulgadora científica.,no_politico
el 37 por ciento dice que los partidos son deshonestos y el 23 por ciento menciona que no le entiende a la política.,izquierda
"la participación ciudadana y la transparencia en materia ambiental son fundamentales para lograr la gestión integral, sustentable y responsable de los recursos naturales; pilares en la protección, preservación y cuidado del entorno ambiental;",izquierda
"la coexistencia armónica y complementaria de los sectores público, social y privado;",izquierda
"en ese entonces, le fueron inyectados biopolímeros en los glúteos, una sustancia que con el tiempo le provocó complicaciones severas en la zona lumbar y la cadera.",no_politico
la contratación de servicios por los organismos del sector energético está siendo cuestionada.,derecha
establecer las medidas necesarias para generar los capitales humano y material necesarios para un óptimo crecimiento.,derecha
la calidad de la salud en méxico ha decrecido pues ha disminuido el número de médicos y enfermeras por habitante y la cobertura del esquema básico se mantiene sin cambios.,derecha
para ello impulsaremos la reducción progresiva de disposición final de residuos que son aprovechables.,derecha
"reformar la ley de desarrollo rural sustentable para precisar los enfoques participativo, territorial y multisectorial",derecha
"tenemos claro que la política social de los últimos veinticinco años a favor de los más desfavorecidos solamente ha administrado la pobreza, pero no la ha erradicado, y ni siquiera disminuido de manera contundente.",izquierda
gobierno de calidad 1.21 a 1.22,izquierda
"no solo es el primer cátcher mexicano titular en una serie mundial, sino también el primer compatriota en conectar un cuadrangular en este escenario.",no_politico
una mirada hacia adelante,derecha
la manera de ver el arte en méxico es con dos manos y dos huevos.,no_politico
combatir el tráfico ilícito de especies animales y vegetales.,izquierda
en milenio te contamos cuáles son los pasaportes más poderosos que hay.,no_politico
"no me sigas tiene la calidad para verse en cualquier parte del mundo y, al mismo tiempo, conserva algo muy nuestro: la forma en la que entendemos el miedo.",no_politico
todo ello ha permitido avanzar en la protección civil en nuestro país con objeto de crear mejores condiciones para el bienestar social.,izquierda
"cada frasco o envase encierra el sabor auténtico del pimiento, alianza entre la tierra fértil que lo cultiva y el fuego que lo transforma.",no_politico
a partir de la evolución de la gestión gubernamental y de los procesos de descentralización de funciones del gobierno federal a los estados y municipios.,izquierda
"andré hizo un esfuerzo muy grande para salir de su lesión, yo he estado muy cerca en ese proceso.",no_politico
promover el desarrollo rural integral mediante políticas públicas para la creación de infraestructura social y productiva y de servicios que generan empleo e ingreso y eleven la calidad de vida de los productores rurales.,izquierda
línea de acción 4 impulsar una política pública que visibilice el trabajo y condiciones de las mujeres cuidadoras no remuneradas en el hogar fomentando la corresponsabilidad entre ambos géneros.,derecha
este crecimiento no fue debidamente planificado por razones diversas.,derecha
y a todos los tipos de industria rural y de actividades turísticas que tienen una elevada potencialidad para la generación de empleos en la sociedad rural.,derecha
"en 2012 la carencia por acceso a los servicios de salud afectaba al 21.5 de la población 25.3 millones de personas, 24.0 en hombres 13.7 millones y 19.2 en mujeres 11.6 millones.",derecha
"introducir una cláusula inicial que postule el propósito del tratado de mejorar la calidad de vida de la población rural de los respectivos países, en un marco de equidad.",derecha
la educación y la cultura físicas son parte del desarrollo integral del ser humano y fuente de habilidades y capacidades de sana competitividad y trabajo en equipo.,derecha
para ello es indispensable establecer una amplia agenda digital transversal que amplíe y facilite el ejercicio del derecho a la información de toda la ciudadanía,izquierda
y laborales de las personas migrantes mexicanos en estados unidos y el resto del mundo.,izquierda
"actualizaremos el padrón de beneficiarios de las diferentes instituciones de seguridad social, incluyendo el seguro popular, para mejorar la eficiencia en la atención.",izquierda
"apoyar cursos de actualización a los maestros de manera periódica y permanente, de tal suerte que estén en posibilidad de ofrecer una educación adecuada y pertinente a sus alumnos.",derecha
"lamentablemente en méxico como en otros países, la población joven es el mayor porcentaje, en consumo de drogas, índices de alcoholismo etc.",izquierda
"hemos reaccionado lentamente a las oportunidades de diversificación que representan los nuevos acuerdos económicos en américa latina, europa y asia.",derecha
pero faltan acciones relativas a la deuda privada.,derecha
"es del conocimiento público que el uso de recursos no renovables como el petróleo, día con día nos lleva a situaciones como una grave contaminación por los residuos resultantes del empleo del hidrocarburo,",derecha
"es realmente genial poder ganar el campeonato y estar rodeado de todos estos increíbles aficionados, dijo ohtani a la cadena de televisión spectrum sportsnet la.",no_politico
"entre sus murales más conmovedores está el muro de los muertos, creado por el artista efrén gonzález.",no_politico
hay que incrementar los apoyos gubernamentales a los productores mexicanos para que puedan competir en condiciones similares.,izquierda
promover el turismo sostenible con bajo impacto ambiental y comprometido con el desarrollo de las comunidades locales.,derecha
depende en buena medida el desarrollo nacional.,derecha
considerando sus niveles de producción y formas de explotación para evitar su deterioro y preservarlos.,derecha
"lo aprecio de verdad, expresó.",no_politico
4.2.11.4.privilegiar las soluciones de transporte público en los centros urbanos.,izquierda
pues se localizan los apoyos con una supuesta racionalización de subsidios a fin de mantener a la política social en un marco de política neoliberal.,izquierda
línea de acción 4 ampliar la inversión destinada a la investigación científica y tecnológica para impulsar la capacitación.,derecha
"70 millones de mexicanos son vulnerables a los efectos negativos del cambio climático y el costo económico de la contaminación, según el inegi, alcanza el 5.3 del pib.",derecha
"instrumentar una política exterior de estado, que defina con claridad y promueva y defienda activamente los intereses nacionales, orientándola a apoyar el desarrollo nacional y desarrollada a partir de sus principios constitucionales.",derecha
el crecimiento de la economía nacional que exige una mayor y más contundente atención del mercado interno;,derecha
adoptar medidas de estímulo y aliento a las empresas mexicanas proveedoras para su más amplia participación en las actividades de energía no reservadas al estado.,izquierda
eje 5: méxico abierto al mundo.,derecha
"el pri ynuestros gobiernos han sido artífices de las instituciones que dan sentido a la seguridad social en méxico a los trabajadores del sector formal como el imss, issste, institutos estatales, fuerzas armadas, pemex, cfe.",izquierda
"para fortalecer las capacidades institucionales de los municipios en materia de seguridad pública,",derecha
"el sismo venció la barrera de arena donde se sostenía la ciudad, y junto a los tsunamis, que erosionaron aún más el terreno, la ciudad se sumergió dos tercios.",no_politico
que mandata al estado a organizar y operar un sistema de planeación democrático del desarrollo nacional para formular el plan nacional de desarrollo y los programas sectoriales de la administración federal.,izquierda
"dependerá si nuestro país se convertirá, en esta generación, en referente de prosperidad, bienestar e innovación.",derecha
"durante décadas, juan acompañó a la changa en presentaciones masivas, donde su voz se mezclaba con los acordes de la cumbia y la salsa, creando una atmósfera única.",no_politico
"no lo había hecho de buen grado, y daría mucho, o todo, por volver atrás y que no hubiera sucedido.",no_politico
difundir en el discurso de los candidatos el compromiso de cumplir con lo establecido en nuestros estatutos respecto al porcentaje de participación juvenil en las candidaturas.,derecha
"proponemos que al campo se le apoye con nuevos programas innovadores, imaginativos y creativos que lo modernicen, integrando a los ejidatarios, de cara a la nueva apertura en el marco del tlc.",izquierda
"por otra parte, la concentración de la inversión industrial y agrícola ha determinado un mercado de trabajo segmentado, con fuerte informalización, que ha favorecido la exclusión.",derecha
"sin embargo, estas últimas se relacionan más con los actores o perpetradores de la violencia, que con sus victimas1.",izquierda
"siempre tenía fila, y en cuanto abría las cortinas ya había gente esperando la cena.",no_politico
"la verdad no lo sé, apenas estoy descansando de ese parto porque es una obra muy larga y que me llevó mucho tiempo y es prácticamente, casi un testamento.",no_politico
"aún con esa tradición jurídica heredada, hace falta que la sociedad asimile, se convenza de las bondades de la supremacía del estado de derecho.",derecha
condenar el terrorismo en todas sus expresiones.,derecha
nuestro federalismo ha perdido también su capacidad de promoción del desarrollo económico en las regiones.,derecha
llevo 12 años de carrera y apenas estoy entrando a la actuación.,no_politico
los mexicanos del futuro merecen contar con las mejores herramientas para alcanzar su pleno desarrollo en lo individual y como parte de una comunidad.,derecha
"establecer, para los legisladores, obligatoriedad de haber cumplido, por lo menos, el 60 del tiempo del cargo para el cual fueron electos, antes de postularse para algún otro cargo.",izquierda
"fue un papel que me exigió emocionalmente y que me enseñó a soltar el control frente a la cámara, detalló.",no_politico
"no es sólo la apropiación del conocimiento, sino un modo de integrarse a la realidad participando creativamente en ella y transformándola para hacerla más justa, digna y solidaria.",derecha
garantizar el pleno respeto a la libertad de expresión y promover el desarrollo de una sociedad informada y crítica.,derecha
"de igual forma, debe castigarse toda ganancia que tanto funcionarios como particulares puedan generar por vínculos que trastoquen el marco normativo, a costa del erario.",derecha
"promoveremos talleres y cursos en las escuelas, para enseñar métodos de administración efectiva de los recursos y organización de la economía doméstica, comunitaria y de cooperación.",derecha
tratados y convenciones internacionales al servicio de méxico.,derecha
promover la reforma municipal estratégica del artículo 115 constitucional y artículos correlativos para fortalecer a los municipios.,derecha
"consolidar la capacidad de gestión de estados y municipios fortaleciendo sus recursos técnicos, presupuestales y operativos",izquierda
"tres vinos argentinos, de un extremo a otro del país",no_politico
impulsaremos un paquete importante de reformas para mejorar la calidad educativa y la formación para el trabajo en nuestro país para generar un país productivo y competitivo.,derecha
"3.4.3.fortalecer los programas de cooperación internacional para enfrentar a las diversas modalidades de delincuencia organizada y redes ilícitas transnacionales, a partir de los principios de responsabilidad compartida y solidaridad.",derecha
cuenta con una planta de investigadores muy reducida en relación a su población en comparación con los países de la unión europea o estados unidos de américa.,izquierda
línea de acción 2 fomentar programas regionales en materia de producción de alimentos que permitan atender las necesidades de alimentación en las comunidades rurales más marginadas.,izquierda
"en el horizonte crítico, abierto por los efectos inminentes del cambio climático, el agua se convierte en un tema de seguridad nacional, pues de su disponibilidad dependerá la existencia misma de la nación.",derecha
5.1.instrumentar una política exterior de estado promotora del desarrollo.66,derecha
"la implantación de tarifas, y el cobro del servicio,",derecha
"en ese sentido, la plataforma electoral que sostendrán nuestras candidatas y candidatos, que aquí se presenta, no pretende ser exhaustiva; es apenas el punto de partida.",derecha
"supresión de organismos públicos, que no se justifique plenamente su existencia, cuyas funciones sean asumidas por otra dependencia;",izquierda
supone un daño grande para una proporción significativa de la superficie de tierra.,derecha
"en la emergencia económica promover acuerdos a nivel nacional, estatal y local, entre el gobierno y los sectores empresarial y laboral,",derecha
lee: bárbara islas sí fue novia de gala montes: actor afirma haber visto varias situaciones entre ellas quién es el reportero que amenazó a bárbara islas y por qué lo hizo?,no_politico
"mira: cazzu en medio de su mejor momento musical, tiene fuerte prohibición! es el fin de su carrera?",no_politico
"hablar de salud es hablar de futuro, y en méxico queremos jóvenes sanos y confiados en que se tiene asistencia médica de calidad.",izquierda
1.1.en el partido acción nacional nos proponemos: méxico republicano.,izquierda
que no sabe convivir en la pluralidad democrática;,izquierda
"visión: los mexicanos queremos leyes acordes a las necesidades reales de la población, que contribuyan a generar las bases del desarrollo social y a evitar las conductas antisociales que generan el delito y la delincuencia.",derecha
denunciamos el temor velado de que haya una democracia más libre y participativa.,derecha
"estos logros fueron posibles debido a políticas públicas panistas con visión de largo plazo, así como a finanzas públicas sanas y responsables para sanear los sistemas de salud en méxico.",izquierda
exigir el respeto de los derechos humanos de los mexicanos migrantes.,izquierda
"garantizar que los preceptos legales en materia de libertad de expresión,",derecha
"una profunda crisis de legitimidad social que aqueja, cada día que pasa, a las instituciones del estado, incluyendo a los partidos políticos.",izquierda
ese es el mayor desafío de la nueva sociedad ala que aspiramos en el siglo xxi.,derecha
es necesario asegurar las condiciones de seguridad e infraestructura que propicien la inversión productiva para generar más y mejores empleos.,derecha
el derecho a disfrutar los beneficios de la explotación razonable de los recursos naturales;,izquierda
objetivo 1: productividad para crecer y prosperar,derecha
"cómo se compara la experiencia de ir al cine, con filmar por segunda vez la historia de tu personaje de black phone?",no_politico
"otorgar recursos suficientes con la finalidad de promover la transferencia de tecnología,",derecha
"durante el estudio, los científicos documentaron dos eventos de caza en los que las orcas mataron a tres tiburones blancos.",no_politico
para ello resulta fundamental respetar la ley.,derecha
favorecer la investigación y las acciones conducentes para promover el uso de biocombustibles de segunda y tercera generación como parte de la mezcla energética y en la generación de electricidad.,derecha
uno de los principales derechos que debe garantizar la autoridad es la seguridad de las personas.,derecha
las conserveras muchas con larga tradición familiar han sabido encontrar el equilibrio entre innovación y la cultura artesana heredada de los antepasados.,no_politico
la práctica puntual de esta posición fue motivo de reconocimiento por propios y extraños durante el siglo xx.,derecha
"el sistema nacional de seguridad pública, para separarlo por completo de la secretaría de gobernación y dar vida a una nueva secretaría, organismo o entidad de seguridad ciudadana, con base en ese mismo criterio.",derecha
"por ello demandamos el respeto irrestricto a las garantías de libertad de expresión y de creencias con respecto a la vida privada, la moral y la paz pública;",derecha
ajustar el anexo del tratado sobre aspectos laborales para garantizar la libre movilidad transfronteriza de la fuerza de trabajo y el respeto a los derechos humanos y laborales.,izquierda
destinar la recaudación proveniente de los impuestos especiales para programas y proyectos productivos.,izquierda
"no ha corregido el precarismo de los permisos, lo que mantiene en permanente incertidumbre la actividad;",derecha
estrategia 1 políticas públicas para generar capacidades productivas en los grupos vulnerables,izquierda
línea de acción 3 aumentar los recursos del presupuesto de egresos de la federación para el avance transversal de los objetivos de la igualdad de género.,izquierda
"línea de acción 7 promover la legislación en materia de violencia intrafamiliar, procurando la creación de instancias de apoyo a las víctimas y la conciliación y superación de estas conductas en los agresores.",derecha
"las conservas navarras, más que una tradición, son una declaración de compromiso con la tierra y con su gente.",no_politico
"dicha reorientación debe cuidar que el gasto público se destine prioritariamente a la obra pública y la infraestructura productiva,",izquierda
"en el caso de los diputados locales, permitir la reelección para el periodo inmediato, en los términos que las constituciones de los estados señalen.",izquierda
"sin embargo, los científicos advierten que el anuncio de colossal no significa que el verdadero dodo pueda ser rescatado.",no_politico
todos nos ponemos contentos por él.,no_politico
"potenciar la relación estadosociedad para impulsar, promover y difundir el arte y la cultura.",izquierda
"se destruyeron, en suma, los pilares con los que se edificó la institucionalidad democrática de nuestro país a partir de 1917.",izquierda
"el acceso a los bienes culturales no debe estar limitado a la capacidad de ingreso de las personas, o a una sola visión sobre la cultura.",izquierda
línea de acción 7 recuperar la energía en la producción y generación eléctrica.,izquierda
quiero darles las gracias a todos mis compañeros.,no_politico
la gran mayoría de ellos decide emigrar por razones económicas.,derecha
"sin duda, el legado más importante de la alianza para la seguridad y la prosperidad de américa del norte aspan es el mecanismo de cumbres de líderes de américa del norte.",derecha
"el reto de transformar a méxico supone también establecer una relación armoniosa con nuestro entorno natural, con planeación urbana acorde con el ordenamiento ecológico del territorio,",derecha
o se estima que la cifra negra de la inseguridad para 2001 fue de 2 millones 972 mil 230.,derecha
"del lado del gasto público,",izquierda
con frecuencia se ha argumentado de que el esfuerzo debe centrarse en alcanzar ciertas metas macroeconómicas que automáticamente conducirían a la solución del conjunto de problemas sociales en etapas posteriores.,izquierda
"crear centros de investigación y desarrollo en materia educativa, como fuentes de evaluaciones rigurosas y para proveer evidencia que sustente el diseño de innovaciones.",derecha
"a fin de cerrar las brechas de acceso e inclusión económica, laboral, educativa, patrimonial y de salud de las mujeres y las niñas,",izquierda
"encontramos algunos fondos de botella de ginebra que son cuadradas, con vidrio muy oscuro.",no_politico
"en el pri reconocemos que los mecanismos de discriminación hacia las mujeres son múltiples, empezando por el propio idioma castellano que a través de su uso genérico masculino, las hace invisible en la sociedad.",derecha
su mirada es la de un especialista que entiende que detrás de cada mordida hay un entramado técnico y sensorial.,no_politico
"para evitar el colapso necesitamos cero deforestación, degradación e incendios, de inmediato, dijo nobre.",no_politico
"impulsar una ley de seguridad alimentaria e inversión rural y agropecuaria,",derecha
"sin embargo, decidió explorar nuevas metas, lo cual la llevó a destacarse también en otro ámbito.",no_politico
"que garanticen el acceso efectivo a la alimentación, la salud,",derecha
"promover capacitaciones que confieran habilidades a la fuerza laboral, para obtener una mayor eficiencia y utilidad en la pesca.",derecha
"es importante que todos los poderes, todos los ámbitos de gobierno y todos los sectores asuman un papel estratégico en este proceso que la ciudadanía ha demandado.",derecha
"nuestra propuesta es ampliar y robustecer los mecanismos de democracia participativa como el plebiscito, el referéndum y el gobierno abierto, con mecanismos de participación constantes como las redes sociales, plataformas digitales, etc.",izquierda
"esto implica importadores especializados como viñals o ralogu, y otros más generalistas que apuesten por bodegas potentes, como mibil, que lleva catena y el enemigo, o vila viniteca, que representa a zuccardi.",no_politico
actualmente forma parte de la puesta la obra que sale mal.,no_politico
desarrollar proyectos de desarrollo cultural y deportivo a todos los niveles y en toda la extensión territorial.,derecha
"para imprimir una mayor descentralización a lo rural y pesquero, presupuestaria y operativamente;",derecha
"desde el congreso, proponemos:",derecha
"promover la coordinación entre los instrumentos de la planeación nacional, regional, estatal y municipal en desarrollo urbano, rural e infraestructura.",derecha
"y el desarrollo de las regiones más rezagadas del país,",derecha
independizar al ministerio público,izquierda
ha sido inocultable la indignación ciudadana frente a la corrupción previa que magnificó los efectos del terremoto y ante los intentos por desviar la ayuda y manipular las necesidades de los damnificados.,derecha
"el tridente japonés tuvo todo el respaldo para dar el mejor juego, entre ellos, están los interpretes.",no_politico
"por la noche, el festival internacional de luces filux llenará de color la avenida con instalaciones luminosas y espectáculos visuales, reforzando el ambiente festivo previo a las celebraciones principales del día de muertos.",no_politico
"también puede haber encadenamientos favorables de economía política, efectos positivos en el mercado de capitales y nexos entre cohesión social, inversión y productividad.",derecha
"hasta que no logremos la reducción de las desigualdades entre regiones, nuestro país no estará aprovechando todo su potencial.",izquierda
las mujeres padecen de altos índices de violencia de género.,derecha
"educación pública de excelencia para una infancia sin carencias nutricionales y una juventud entusiasta y confiada, cuyas expectativas encuentren adecuados cauces.",derecha
"para la comisión de la cooperación ambiental cca méxico lidera en emisiones atmosféricas, y la ciudad de méxico ha sido considerada como la antesala a un hiroshima ecològico.",derecha
"el partido verde ecologista de méxico, defiende con fervor la defensa del orden constitucional y la protección a los derechos humanos.",derecha
durante los dos últimos años el avance hacia la equidad de género fue irrelevante y el rezago en esta materia afecta al desarrollo nacional.,derecha
favorecer el consumo de bienes y servicios provenientes de procesos de producción apegados a la legislación ambiental y que sean biodegradables así como legislar sobre la producción y la comercialización de alimentos y productos transgénicos.,derecha
línea de acción 2 informar sobre las ventajas comparativas de nuestra oferta política.,izquierda
1.1.8.promover el desarrollo regional para reducir las desigualdades,derecha
"línea de acción 1 incentivar y destinar recursos a la creación de centros de innovación, desarrollo y transferencia de tecnología que vinculen a estudiantes, investigadores y empresas.",derecha
youtube incorporará las herramientas de edición de vídeo de adobe premiere para que los creadores de contenido puedan hacer shorts virales que ayuden a aumentar la audiencia.,no_politico
es fundamental establecer un sistema de cuencas atmosféricas que nos permitan atender la problemática de manera puntual.,derecha
"visión: queremos un méxico que impulse un crecimiento de los centros poblacionales de manera ordenada, en armonía con el medio ambiente,",derecha
"promover programas educativos y de concientización social para fomentar el respeto y tolerancia de las elecciones, preferencias y decisiones de todas las personas en materia de sexualidad y reproducción.",izquierda
"lo cual implica desconcentrar y descentralizar la operación de los programas, a fin de adecuarlos a las características regionales, estatales y municipales.",derecha
"de acuerdo con gdf, en su programa integral de seguridad pública y procuración de justicia 20012006, los factores que crean el clima de inseguridad pueden ser de carácter económico o de naturaleza social y cultural.",derecha
promover campañas de información para que los adultos mayores conozcan permanentemente de los programas que los benefician y cómo pueden hacer valer sus derechos.,izquierda
"permitieron a la delincuencia reclutar a jóvenes, campesinos y desempleados, entre otros, a su sistema delictivo y a su vez utilizar la infraestructura de algunas corporaciones policiales.",derecha
sin embargo debe reconocerse que aún la flota de altura enfrenta problemas mayores.,derecha
"comenzó su carrera en el modelaje en 2018, cuando participó en la flor de oro de tabasco.",no_politico
"educación básica, media y superior",derecha
financiamiento para ecoturismo rural,derecha
"para aprovechar las oportunidades en áreas como la cibernética, biotecnología, tecnologías de la información, nanotecnología o energías alternativas,",derecha
"reformar el cofipe a fin de que niñas y niños puedan participar en ejercicios de elección, donde las opciones sean similares a las de los adultos.",derecha
"línea de acción 5 buscar la integración de modelos de conservación, fomento a buenas prácticas productivas y uso sustentable del patrimonio natural.",izquierda
"línea de acción 7 fortalecer la colaboración entre las instituciones de seguridad pública y de procuración de justicia, y entre el ministerio público, policías de investigación y seguridad pública, así como de los peritos.",derecha
williams abordó ese problema con un proyecto reciente que involucró programar drones para elegir trayectorias de búsqueda en coordinación con buscadores humanos.,no_politico
tampoco podemos dejar de lado las distintas restricciones financieras y presupuestales que con frecuencia afectan a los gobiernos latinoamericanos.,izquierda
"es importante impulsar los sectores intensivos en mano de obra, con valor agregado educativo y tecnológico,",derecha
"6.10 reformar el artículo 3º constitucional para integrar en la educación los principios de uso racional y sustentable de nuestros recursos,",izquierda
estas cifras nos hablan de un sistema bancario listo para enfrentar los retos de financiamiento que necesita el país.,izquierda
reforma política y electoral,izquierda
compartió cuatro palabras en inglés en la publicación: such a happy flight un vuelo tan feliz.,no_politico
"a las 19:00 horas se proyectarán los cortometrajes lluvia en los ojos y cerulia, de la cineasta sofía carrillo, reconocida por su trabajo artesanal en animación stop motion.",no_politico
tampoco tales programas pueden ser detonantes de un proceso profundo de reactivación económica y constituirse en pilar de desarrollo.,derecha
línea de acción 6 crear nuevos programas educativos basados en la generación de talento para enfrentar los retos digitales; capacitar para innovar.,izquierda
la sociedad queda excluida de su definición,izquierda
"según este estudio, méxico tiene el mayor porcentaje en américa latina de personas que afirman haber pagado un soborno para acceder a servicios públicos básicos en los 12 últimos meses 51 por ciento.",izquierda
"fortalecer las capacidades técnicas, de equipamiento y de operación estratégica de las policías para hacer frente a la delincuencia y mejorar la coordinación entre los distintos órganos de gobierno encargados de la seguridad.",derecha
"sin duda, los principales factores de tal irresponsabilidad son por un lado, la falta de conciencia, la imperante necesidad de poder y dinero de unos cuantos y la más importante: la falta de normatividad específica.",derecha
democracia con resultados y rendición de cuentas,izquierda
"un paso clave siguiente es desarrollar robots aéreos que puedan ser desplegados en enjambres y tomar sus propias decisiones sobre dónde buscar, dijo ryan williams, profesor asociado en virginia tech.",no_politico
mediante esfuerzos como salud en tu escuela,derecha
"línea de acción 3 modernizar y ampliar la infraestructura aeroportuaria en el país, incluyendo la construcción del nuevo aeropuerto de la ciudad de méxico.",izquierda
se instaurará el seguro del desempleo,derecha
"muchas veces, no sabes lo que están haciendo los otros equipos, entonces, es como un disfraz, donde está el performance.",no_politico
uno de los grandes éxitos de méxico con los gobiernos del pri fue idear un sistema de seguridad social en el país que ha sido ejemplo mundial.,izquierda
"crear más y mejores empleos para mujeres, vigilando la correcta aplicación del criterio de que a trabajo igual salario igual.",izquierda
y revertir las iniquidades que subsisten en la distribución de estos recursos entre los estados así como entre los.,izquierda
restauración del interés y la unidad nacional,derecha
línea de acción 1 fomentar un modelo de desarrollo urbano sustentable e inteligente que promueva la compactación de las ciudades y el impulso a la actividad económica.,derecha
"utilizando toda la capacidad del gobierno en los ámbitos de la inversión y de las decisiones administrativas,",derecha
"en particular, la que radica en los municipios y comunidades de menor desarrollo relativo.",derecha
se trata de que todos puedan capacitarse y adquirir habilidades y competencias para el trabajo y para su desarrollo individual.,derecha
"perfeccionar nuestra democracia y sus instituciones es una tarea constante e inacabada, especialmente si observamos la profunda desigualdad entre el desarrollo democrático de los estados y municipios.",derecha
este éxito ha sido resultado de la inversión pública y privada en investigación y desarrollo.,derecha
línea de acción 3 establecer la portabilidad en los sistemas de pensiones y de financiamiento a la vivienda.,izquierda
"y salud, prevención de las adicciones y de otros servicios sociales.",izquierda
"4.2.9.2.transitar hacia un modelo de prevención, más que de atención de las enfermedades, fortaleciendo los programas de educación para la salud y prevención de las enfermedades en la atención primaria, dotándolos de recursos suficientes.",izquierda
"desarrollar programas de gestión de desastres y de protección de las personas en los ámbitos municipal, estatal y federal que contemplen acciones en materia de apoyo, auxilio y recuperación de la comunidad.",izquierda
los datos disponibles tienden a señalar que aumenta el segmento de la pobreza que ingresa en la clasificación de pobreza extrema.,izquierda
poner al desarrollo sostenible en el centro de la estrategia de desarrollo nacional.,derecha
"del valor del ser humano se deriva la congruencia de aquellas actitudes, hábitos y principios morales que salvaguardan la dignidad de la persona y las posibilidades de su sano desarrollo.",derecha
"no es en ese sentido mi escritura, una escritura que solamente se refiere al pasado, sino que gracias al entendimiento del pasado puedo entender mi presente y de alguna manera representarlo también en mi escritura.",no_politico
"la seguridad jurídica y el estado de derecho son esenciales para tener mayores niveles de ahorro, financiamiento e inversión en la economía.",izquierda
"transversalizar, garantizar y proteger los ddhh.",derecha
impulsar la competitividad de la industria mexicana fortaleciendo los programas de financiamiento para posicionar los productos nacionales en mercados externos.,derecha
retirarle a la comisión nacional de acuacultura y pesca sus atribuciones de inspección y vigilancia y otorgárselas a profepa.,derecha
imponer sanciones más severas para las personas o empresas que infrinjan las disposiciones legales en la materia y que éstas sean aplicables en todos los niveles.,derecha
"durante la evolución histórica de nuestro país, se ha ido consolidando una clase política que busca conquistar la confianza de la ciudadanía con sus líderes y dirigentes.",izquierda
"a través de programas de autoempleo, estímulos a emprendedores, financiamiento a proyectos productivos.",derecha
"la mayor riqueza de un país es su población,",derecha
finalmente y uno de los temas más relevantes es la falsa creencia de quien no paga no merece una educación de calidad.,derecha
"hoy, mejor que nunca, entendemos las palabras que manuel herrera y lasso escribía hace sesenta años, la democracia, más que una forma de gobierno, es condición de dignidad humana y exigencia de decoro cívico.",izquierda
20.ampliar las oportunidades de intercambio académico y científico.,derecha
"la incapacidad para garantizar seguridad también se debe al debilitamiento del estado, al llamado estado mínimo que los neoliberales han aplicado en méxico.",izquierda
formar y capacitar capital humano;,derecha
"se ha fortalecido su normatividad para la inversión pública y se han establecido mecanismos para su mejor evaluación,",derecha
"tenía seis años y estaba bien chiquita; ve mis manos, por eso las tengo maltratadas mostró las cicatrices que han quedado del constante contacto con el calor.",no_politico
"visión: un país moderno necesita de un sistema financiero dinámico, en donde el gobierno también sea un jugador activo, mediante una política de financiamiento responsable al desarrollo.",derecha
"algunos países emergentes que evitaron la exposición de su sistema financiero y que han fortalecido su mercado interno, como china e india se han visto menos afectados.",derecha
la equidad significa trascender la igualdad y aplicar criterios que permitan darle más y diferente a quienes más lo necesitan.,izquierda
4.32 legislar para sentar las bases de un programa de estancias para personas con alguna discapacidad.,izquierda
el año pasado también hizo práctica en el autódromo pero se vio limitado por la bandera roja.,no_politico
"otorgar becas y financiar proyectos que alienten trabajos de investigación científica, tecnológica y humanística.",izquierda
"o el df ocupa el primer lugar entre las 32 entidades federativas del país en numero de delitos por habitante; durante el 2001 se cometieron 17,718 delitos por cada 100 mil habitantes.",izquierda
la ciudadanía ha alzado la voz para exigir que el estado cumpla con su función primaria de garantizar la seguridad física y patrimonial de las personas.,derecha
seguridad social incluyente 4.13 a 4.16,derecha
mecanismos de regulación económica,derecha
y fungirá como órgano de certificación y soporte institucional y subsidiario de todas las policías municipales y estatales.,derecha
"en este sentido, se fomentará la creación de agencias de desarrollo rural que funcionen con equipos técnicos multidisciplinarios bajo un esquema ágil y transparente de certificación de competencias, sistematización y seguimiento a nivel nacional.",derecha
propiciar una forma de gobierno que fomente las coaliciones de gobierno sólidas previas o posteriores a las elecciones.,izquierda
"y la atención prioritaria al cumplimiento efectivo de los derechos de las mujeres, los pueblos indígenas, los adultos mayores, los niños y otros grupos vulnerables.",izquierda
1.2.8.multiculturalidad y promoción del desarrollo e inclusión de las comunidades indígenas y los pueblos originarios.25,derecha
"ese primer año ganó un premio, aunque terminó con pérdidas porque no sabía calcular los costos: pero me encantó esto y vi que es lo mío.",no_politico
"este comportamiento refleja la inteligencia avanzada de las orcas, su pensamiento estratégico y su capacidad de aprendizaje social, ya que estas técnicas se transmiten entre generaciones, añadió.",no_politico
reconstituyente de la naturaleza y protector de la biodiversidad.,izquierda
